-3.60E+01,0.00E+00,0.00E+00.1,0.00E+00.2,2.66E-14,0.00E+00.3,6.86E-14,0.00E+00.4,7.68E-14,0.00E+00.5,6.75E-14,0.00E+00.6,3.51E-14,0
1.07,-35.0,-8.55,-2.74,-9.76,16.7,-14.0,-7.86,-15.7,3.28,12.7,-1.47,-7.21,0
4.2,-18.9,-12.6,0.423,-16.0,5.8,-1.19,-4.96,16.1,6.2,11.6,-0.361,-5.72,0
2.8,-34.7,-15.7,-10.4,-17.0,-2.14,9.89,13.0,28.6,4.24,1.86,-4.03,-7.57,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
4.53,-28.7,-3.25,-3.36,-10.6,11.2,-2.73,7.0,-6.31,1.8,-13.1,-6.43,-0.743,0
1.08,-43.9,4.7,4.51,-3.75,-19.7,-12.1,1.34,-3.87,5.52,14.7,-9.57,-16.5,0
1.58,-42.2,-6.75,-1.11,-6.85,7.34,-0.327,-8.5,0.772,0.315,2.34,-18.8,-3.65,0
0.387,-19.0,3.87,-5.36,-0.187,-3.46,-0.618,-1.44,0.47,1.37,3.38,1.22,-0.987,0
1.07,-35.5,-14.6,-21.0,-16.3,2.62,-0.237,-3.24,-7.83,2.97,7.68,-8.55,-3.07,0
2.5,-33.5,-0.0435,14.6,-1.13,-17.8,6.19,13.8,8.54,-0.868,-4.58,-3.2,1.24,0
1.07,-34.8,-9.1,3.83,-6.34,-4.3,-2.8,-4.13,-17.0,2.81,9.43,0.158,3.13,0
0.665,-42.0,-12.7,-9.23,-8.77,-6.4,-7.31,-5.87,-7.98,-7.5,-8.74,-7.46,-3.29,0
7.62,-21.8,-10.6,25.0,-30.0,9.25,-4.34,-6.11,13.6,-8.55,-0.542,-0.208,2.98,0
0.664,-33.7,-4.29,-11.4,-24.8,11.9,1.78,-22.6,11.2,3.19,-5.88,-3.09,2.25,0
1.08,-24.2,-4.21,3.64,-16.5,-15.2,-2.7,-0.566,0.782,7.06,-3.46,-12.0,5.63,0
2.86,-39.5,-15.6,-2.55,13.2,5.13,-17.4,-0.687,-6.07,-4.89,12.7,-10.3,-11.9,0
1.58,-42.2,-15.2,-13.0,-9.86,-13.6,-2.26,-5.49,-2.96,-13.0,-20.2,-7.73,-1.49,0
1.07,-29.0,-6.95,-18.2,-0.559,-0.95,-8.82,-2.2,-6.15,5.92,1.49,-5.51,-0.533,0
