-3.60E+01,0.00E+00,0.00E+00.1,0.00E+00.2,2.66E-14,0.00E+00.3,6.86E-14,0.00E+00.4,7.68E-14,0.00E+00.5,6.75E-14,0.00E+00.6,3.51E-14,0
-0.0233,-21.4,-15.3,-20.1,-0.718,1.24,-15.3,0.783,9.94,-15.5,5.89,6.68,-16.3,0
3.97,-32.9,-29.1,-4.96,24.5,23.3,-12.4,-19.9,8.27,-2.72,-5.17,-3.61,-0.672,0
-0.0219,-15.3,-2.07,-10.4,-13.5,-15.0,-1.92,8.87,3.2,-10.7,-8.09,7.19,9.79,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
3.28,-17.5,-10.0,-26.1,-14.2,5.64,-8.02,-5.18,-4.35,-9.35,-0.716,-1.4,7.06,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
2.65,-26.9,-2.59,-6.15,-7.43,-0.293,-7.73,-8.24,6.48,-8.52,15.1,13.1,18.5,0
0.664,-34.0,-10.5,-8.12,-10.3,-12.8,13.9,-17.0,4.36,1.31,-4.09,3.5,-5.62,0
4.02,-32.9,-8.01,20.4,15.7,4.22,-12.5,-1.04,13.5,-7.87,2.38,-0.488,10.7,0
1.07,-42.7,-8.56,-5.01,-0.747,1.54,9.12,12.4,0.42,-13.1,-10.6,-12.6,-2.38,0
0.671,-42.4,3.17,-4.88,-15.1,-22.4,8.25,16.3,-18.2,-7.3,9.95,-1.47,2.91,0
4.83,-34.3,-16.8,19.3,-9.24,-32.1,24.1,2.89,-2.45,7.61,-22.6,1.49,14.3,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
2.68,-35.4,-8.03,5.54,5.82,-16.9,6.75,14.3,-9.21,-1.01,10.7,3.41,0.587,0
0.665,-39.1,-5.56,-3.03,-11.1,-15.7,-1.72,10.6,-7.35,-6.93,7.42,-4.08,-0.73,0
0.666,-43.9,-29.4,-15.0,-0.113,-8.41,-11.0,12.1,-11.9,2.74,5.15,-10.3,6.08,0
1.07,-33.6,-11.4,-0.517,5.62,-5.64,2.82,-10.3,-17.6,-8.18,13.6,7.58,2.06,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
3.0,-31.2,-11.0,6.15,-4.11,8.1,1.64,3.48,-5.18,-6.89,2.11,-0.379,16.3,0
4.63,-24.3,-19.8,5.54,-15.1,-1.54,10.8,-21.4,3.8,7.0,-1.82,10.7,9.3,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
4.08,-19.8,-4.57,2.1,-7.78,2.42,-2.1,-1.3,-9.28,1.93,8.25,-10.6,-2.93,0
1.07,-41.3,4.2,-2.82,-12.7,-16.7,-2.04,-2.62,13.0,-6.09,-6.23,-5.6,10.0,0
0.668,-21.3,1.12,-20.8,-15.9,0.274,-0.252,1.56,-10.5,0.496,4.55,2.33,-9.14,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
6.56,-38.7,-5.3,10.5,-1.3,-4.03,-26.9,13.3,-18.7,2.29,-18.2,12.2,-3.01,0
2.17,-27.0,-18.5,-20.7,-7.97,-7.33,-6.44,-2.67,-9.58,1.11,-7.91,-11.2,-0.827,0
2.58,-28.5,-1.49,4.71,-5.87,0.222,3.7,-2.12,20.2,3.58,11.9,-0.701,-5.25,0
3.89,-34.7,-19.7,6.07,-4.91,3.6,19.0,-7.8,-8.52,-13.7,11.8,10.1,-10.2,0
0.671,-46.8,-8.34,-10.2,-0.899,-0.589,6.64,9.58,11.5,6.34,-3.13,-13.9,-14.4,0
2.66,-19.4,-6.34,-3.43,2.8,4.63,5.15,-3.38,-6.07,6.23,-3.1,-3.67,5.89,0
2.23,-20.6,8.89,-9.37,-12.4,6.64,16.7,0.588,-20.6,-44.1,-9.85,19.7,3.02,0
2.87,-16.9,-7.2,-12.8,6.27,16.6,28.1,10.1,-16.8,-12.2,14.5,8.41,-2.97,0
0.671,-46.3,-4.21,-4.49,6.63,5.26,-1.67,-17.3,-19.2,-4.19,12.8,9.41,-2.92,0
3.53,-45.0,-35.8,-8.18,0.769,6.99,-8.16,-3.83,16.9,3.72,-3.43,4.57,-2.05,0
2.32,-30.1,0.852,3.89,0.881,0.865,-11.7,-17.6,2.75,8.39,8.13,-11.0,2.46,0
2.5,-30.2,-10.7,1.63,-5.64,-4.87,2.34,7.39,-2.82,-2.18,-1.72,2.8,6.39,0
2.17,-42.8,-6.71,-12.0,-11.6,-12.0,-16.8,-14.2,1.26,10.5,1.28,-0.0225,3.83,0
1.08,-18.6,-17.9,-27.5,2.09,0.795,-10.0,-3.47,6.11,-6.26,2.54,-2.37,0.978,0
2.42,-28.4,-2.28,5.49,1.11,-0.666,2.52,-7.17,-16.4,-22.0,-10.3,2.75,-0.535,0
4.33,-20.6,-19.8,-0.212,-8.19,-2.78,8.88,5.18,3.03,-11.3,2.16,-2.19,-7.47,0
3.46,-17.7,-14.2,-12.8,-2.68,-5.11,-7.21,5.43,7.59,2.18,-4.82,-10.9,16.6,0
0.388,-18.2,4.32,-6.23,-0.584,-3.02,1.27,1.45,2.6,-1.57,-4.08,-2.38,3.82,0
4.73,-32.4,-23.9,0.654,-8.56,-4.17,13.9,2.77,16.9,-6.2,-8.97,9.61,-11.7,0
0.902,-21.7,6.2,-5.12,-2.08,-7.48,-3.4,3.58,7.33,-2.0,-2.96,4.84,-0.402,0
2.86,-33.0,-8.55,-1.4,-12.7,-7.16,12.3,11.8,13.6,6.99,5.77,-10.7,-0.962,0
2.12,-21.2,-5.7,-12.7,-11.5,5.43,1.89,5.02,7.48,-8.18,-1.78,5.33,-3.48,0
2.12,-30.4,2.97,8.33,-0.931,-4.16,8.52,10.1,4.59,-6.47,3.28,7.67,-12.8,0
0.898,-23.8,0.547,16.0,14.6,-13.1,5.48,-13.5,-22.9,10.9,15.2,2.81,-2.75,0
4.82,-24.2,-20.2,7.58,2.02,-9.36,-12.6,9.5,14.2,5.64,3.26,0.613,4.36,0
2.32,-30.4,-6.06,2.32,2.93,-9.76,-1.87,1.34,0.2,-5.83,0.124,11.6,4.48,0
2.11,-29.5,4.04,4.05,-6.87,-0.619,-1.02,5.26,10.7,-2.99,-1.18,14.0,-0.633,0
0.664,-36.9,-14.6,-6.66,-2.65,-2.92,5.97,-1.82,1.17,-9.99,-4.32,-3.25,5.31,0
0.391,-13.4,0.722,-13.9,-22.8,-8.42,15.4,-5.87,-10.0,3.76,-3.1,7.27,-5.96,0
3.09,-34.2,-13.7,13.4,8.3,-8.83,-3.69,2.31,9.75,-7.82,7.03,-3.27,0.128,0
3.09,-33.5,-4.24,5.88,-14.1,-0.0295,-3.18,1.3,8.57,-8.2,-6.51,-7.43,-2.42,0
5.72,-45.6,-13.1,-0.533,-18.8,-3.69,-11.4,37.1,-0.661,12.0,4.85,-2.12,-12.0,0
3.11,-26.4,3.76,4.58,-13.4,7.93,18.2,-6.61,2.93,-0.0816,9.15,1.33,3.76,0
2.41,-29.7,-8.18,1.6,7.43,0.0421,-9.16,-5.61,2.94,13.6,-9.63,-11.3,-1.33,0
1.07,-32.9,-2.76,-14.5,-13.8,16.0,-11.7,-23.0,15.9,6.55,-13.3,-0.519,9.39,0
1.77,-39.4,-25.6,-29.7,-7.51,2.27,3.28,3.76,-8.66,-11.3,-6.45,-0.89,1.38,0
2.46,-38.8,-20.7,-7.45,9.27,-2.41,-13.5,-20.4,-4.5,0.525,2.23,0.291,-11.8,0
1.92,-31.1,-19.4,-16.3,-15.4,3.62,15.3,7.43,1.5,-5.47,-6.66,3.19,-0.606,0
1.07,-50.8,-28.3,-24.5,-10.7,8.84,3.89,14.1,27.4,9.26,-5.29,7.69,-8.88,0
0.665,-38.7,-5.19,-4.62,-13.7,-14.1,5.15,5.09,-12.6,1.14,5.97,-8.1,6.96,0
5.29,-14.9,-17.3,6.18,14.4,0.847,-3.87,15.9,2.38,7.29,-4.7,-19.3,11.8,0
2.75,-28.0,-17.6,-18.2,-22.4,-21.8,-10.8,-23.0,-18.5,-18.2,-8.98,-3.84,-3.83,0
2.46,-29.3,-10.4,-5.07,-3.37,0.996,16.4,-1.2,-6.36,-7.6,4.47,-12.4,-3.82,0
4.64,-36.1,-26.2,14.7,18.3,5.45,-2.94,4.58,-2.32,-12.9,9.78,24.1,1.8,0
2.33,-27.2,-0.198,4.06,2.61,2.13,-9.71,-5.32,5.3,-9.32,1.78,5.42,5.24,0
0.665,-36.1,-7.34,-17.3,-7.87,6.28,-19.0,8.75,-4.02,-1.36,0.232,0.642,-3.48,0
1.07,-27.9,-0.209,2.83,-24.6,-22.1,14.0,6.21,-8.07,-6.68,3.49,-5.13,11.3,0
1.85,-26.8,5.14,-3.46,-11.8,-3.33,-1.99,4.27,2.62,-3.37,3.44,2.84,-2.83,0
6.45,-36.6,-31.6,-10.2,-34.2,3.63,-17.1,-13.2,0.104,11.7,-19.9,-4.61,0.117,0
3.02,-31.1,-8.46,3.56,4.27,5.69,-16.3,-2.91,-7.1,-9.82,8.16,7.19,-5.87,0
2.5,-31.9,-5.28,6.52,8.09,6.62,13.4,12.8,13.9,-6.22,-14.8,1.88,-12.7,0
0.666,-28.8,-11.6,-4.56,-12.5,-12.9,3.6,5.24,-13.9,5.83,-1.9,2.78,-6.17,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
2.54,-42.3,-9.79,-4.02,-17.3,-21.2,-20.8,-11.4,-4.49,-6.4,-2.46,-6.5,-1.66,0
0.664,-42.3,-18.3,-9.42,-22.6,-16.6,-24.3,-7.91,-4.23,11.1,-3.47,-13.1,-15.8,0
4.06,-37.6,-17.3,17.5,7.38,-5.59,-10.8,4.59,3.41,4.51,6.51,-7.26,6.72,0
5.04,-30.2,-11.9,14.1,-11.4,15.3,-0.954,-18.1,-13.0,3.29,13.0,-2.92,7.84,0
2.37,-40.2,-11.8,-10.1,-7.72,1.95,16.2,17.4,-3.64,1.32,7.07,-0.0448,-4.52,0
3.23,-41.1,-0.775,10.8,-4.91,12.0,9.87,-8.44,14.1,14.7,-7.04,-20.4,4.39,0
2.72,-30.5,-4.05,-5.73,4.42,14.3,-1.14,-18.4,-5.42,-7.62,-10.7,-1.5,-4.06,0
0.666,-26.7,-9.1,-21.2,-1.2,-2.95,-10.8,7.2,-9.63,4.43,1.56,-8.11,6.42,0
1.07,-47.6,-21.6,-9.58,-10.7,-16.3,5.97,1.17,-7.45,0.114,1.53,2.31,-8.59,0
4.52,-32.5,-12.1,11.0,2.1,8.34,3.62,8.38,-13.7,-0.0431,8.24,-1.27,9.13,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
1.68,-27.5,2.5,6.31,-9.43,0.316,6.63,-4.24,-3.56,-7.91,5.7,1.71,-4.51,0
4.21,-33.9,-20.7,6.75,-9.37,-6.13,-10.0,-27.9,6.25,3.19,-2.87,5.86,1.3,0
0.894,-22.0,0.00061,7.23,-4.3,-12.0,-7.19,-6.43,-11.6,15.7,12.5,-7.9,-0.296,0
2.89,-34.5,-1.23,4.88,-9.75,11.5,7.77,-6.78,-0.129,14.6,8.82,-6.5,-7.37,0
0.665,-42.3,-12.7,-9.36,-9.47,-7.66,-8.93,-7.94,-10.3,-9.1,-6.83,-0.826,3.72,0
1.48,-23.4,-0.956,-8.17,-1.43,2.53,0.978,15.1,11.3,5.51,-9.54,-6.62,6.35,0
1.36,-52.4,-27.9,-9.59,-3.67,-10.4,10.1,14.1,3.73,8.65,-22.5,0.496,-4.18,0
2.57,-2.39,-6.01,-16.0,1.47,-3.92,5.66,5.8,2.31,-1.84,1.89,4.65,4.74,0
4.09,-29.5,-1.25,14.9,-5.22,9.48,-0.756,1.47,-4.87,-8.69,1.78,-3.18,-4.37,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
1.23,-24.6,-3.25,4.77,0.569,6.13,2.86,-9.63,-5.66,1.49,-10.1,9.51,0.822,0
3.48,-31.6,-10.5,12.8,3.94,-7.74,-10.2,-2.75,-10.7,-5.03,-4.59,-6.2,6.97,0
5.4,-20.6,-37.8,-13.9,-18.5,-33.6,6.68,-5.28,-7.19,4.88,6.08,2.51,15.1,0
2.37,-44.5,-21.3,10.3,4.51,-34.0,-4.02,12.1,-22.6,1.78,5.46,-3.07,13.1,0
3.97,-32.3,-15.4,11.7,-2.71,-1.11,-11.8,-5.3,16.3,-11.6,1.06,-7.22,-17.2,0
2.42,-28.5,-6.36,6.95,15.1,-0.611,-12.1,-9.31,-6.61,12.6,4.27,0.93,5.57,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
3.55,-32.6,-17.7,-2.13,-7.1,-10.2,2.45,12.8,18.6,18.6,8.67,-10.1,6.11,0
3.11,-32.7,-21.7,-7.84,-4.31,1.36,6.95,-4.44,13.4,-2.8,-13.8,-10.3,0.136,0
2.05,-27.0,-23.9,-24.5,-8.67,-1.54,-12.6,-10.7,-5.85,-6.34,-5.87,-20.4,4.86,0
1.24,-23.2,1.03,-4.06,1.77,-5.48,5.98,-1.61,1.43,-3.51,4.02,3.32,-2.58,0
3.11,-46.4,-23.6,-7.08,-11.8,0.105,0.262,-2.96,-18.2,-25.8,-4.46,-3.32,-1.62,0
3.46,-22.7,-7.1,4.8,-4.03,-12.6,1.46,18.8,-3.47,-8.3,3.62,-4.89,2.06,0
3.79,-38.0,-5.34,12.4,-9.59,6.82,12.0,-14.3,-10.4,16.7,15.1,-1.12,-8.75,0
2.28,-29.6,-23.5,-30.0,-18.7,-14.3,-18.7,4.25,4.9,-15.8,-10.6,-4.39,-10.3,0
-0.0252,-31.4,-22.0,-2.41,-9.55,-7.88,3.09,-11.7,11.0,-12.9,11.7,-11.4,7.14,0
2.32,-32.7,-4.21,8.81,7.98,6.54,2.76,-4.99,3.25,-2.29,0.000964,-0.435,-1.64,0
4.7,-27.2,-8.32,11.6,-23.8,-3.13,3.49,-1.28,6.08,-14.7,-2.25,7.71,2.87,0
3.44,-41.7,-17.8,-0.422,-14.3,3.41,-14.7,-8.88,-11.9,-23.2,-2.14,2.67,-3.14,0
0.896,-20.3,-10.4,3.83,30.8,-5.16,4.51,-24.9,-5.97,2.91,-5.45,13.5,5.33,0
2.23,-25.4,-7.07,-5.13,1.24,-0.984,-0.337,-10.5,-1.8,0.319,0.225,2.23,2.6,0
1.07,-34.6,-13.0,-0.512,2.72,4.87,4.41,0.132,-24.4,-8.73,0.0938,-0.493,7.18,0
2.05,-32.4,-14.4,-17.8,-17.7,-8.39,-10.3,-10.7,-14.2,-12.7,-3.19,-4.52,-0.163,0
2.05,-45.9,-15.2,-4.97,7.21,1.2,-20.2,-15.9,-16.1,-17.6,-3.49,-0.0969,12.1,0
0.664,-45.3,-24.3,-22.7,-31.4,-8.64,-4.07,-2.47,-22.7,-1.51,7.66,-6.56,-17.8,0
1.68,-25.9,-3.21,-0.011,-0.562,-0.699,2.7,2.92,-11.1,-3.49,-9.56,3.4,10.4,0
1.85,-26.3,-0.23,0.404,0.43,-6.22,0.419,7.85,-8.9,-1.03,1.27,-20.7,-3.4,0
1.92,-44.0,-11.9,3.02,-11.9,-19.4,-34.5,-17.6,-8.59,1.92,2.13,3.45,-3.03,0
0.907,-11.8,1.47,-3.64,1.35,-8.34,-17.0,-0.758,4.6,-4.62,10.3,5.38,-10.7,0
2.92,-21.4,-11.5,-8.2,5.36,-9.98,-10.7,-9.12,-8.01,10.9,3.58,0.764,9.43,0
0.672,-33.0,-25.1,-20.5,-15.7,-7.04,4.57,-3.22,-14.2,6.47,10.7,-16.0,1.2,0
0.666,-34.4,-9.4,3.48,-7.37,-17.0,-14.7,9.46,13.3,-14.1,-2.84,3.53,-4.72,0
1.58,-37.7,-4.76,-3.09,-6.79,3.18,-2.24,-2.38,-18.1,-7.35,3.19,1.4,-7.41,0
1.92,-32.7,-23.8,-25.4,-18.8,-16.0,-13.9,-15.0,-22.1,-10.1,1.26,-5.37,1.35,0
0.664,-30.7,-14.9,-14.2,1.96,-8.13,-1.98,7.3,-3.24,4.27,-2.47,-6.76,-1.1,0
2.05,-48.4,-9.65,-2.32,2.63,6.99,24.8,1.33,-5.59,-16.1,5.16,0.16,6.96,0
3.71,-34.1,-28.9,-12.1,-6.82,-20.1,-10.6,-0.938,0.869,-12.7,-9.07,3.93,0.0198,0
4.01,-25.4,-21.9,0.635,5.04,-10.4,1.22,3.58,-1.47,-0.402,2.14,-3.3,7.62,0
4.75,-39.8,-13.4,13.5,-4.85,9.67,-29.1,-17.6,-1.68,3.28,6.87,-18.1,2.62,0
3.23,-25.4,-4.92,8.12,-2.71,-4.51,-6.65,10.2,7.7,-6.25,-2.64,-15.6,-15.5,0
4.45,-28.0,-21.1,4.4,-0.523,0.405,11.4,-19.6,4.88,12.9,7.94,11.3,-4.93,0
2.12,-27.4,3.62,-3.69,-2.32,3.01,1.88,-4.2,-0.688,-0.913,11.4,1.55,-4.37,0
0.664,-35.4,-11.2,-3.87,-4.13,-15.7,-3.62,0.484,6.95,-11.2,3.18,2.42,-6.96,0
0.666,-36.4,-18.0,-5.44,-9.74,-5.28,-5.15,-5.93,-3.82,-8.61,-7.04,-11.1,-6.34,0
0.664,-33.0,-21.3,1.7,-1.56,3.99,16.3,-3.51,8.0,-28.3,-6.07,-17.8,14.1,0
1.07,-53.9,-16.5,13.4,-7.76,-18.9,2.24,-9.98,9.01,-3.25,-0.221,-1.71,-1.64,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
4.12,-36.8,3.49,5.27,-8.41,7.89,6.1,19.7,-7.78,31.0,-8.37,7.91,1.51,0
1.78,-46.2,-21.1,-20.0,-6.66,5.13,6.86,-13.8,-13.4,-4.11,-14.0,-0.748,10.2,0
4.15,-38.2,-20.0,-5.33,-9.8,8.05,-12.7,8.15,10.0,-8.18,-2.74,-0.465,21.6,0
0.664,-40.3,-14.4,-1.28,-6.65,8.45,4.71,14.5,-0.716,-5.35,-20.1,-12.8,-3.19,0
4.04,-34.8,-16.8,5.08,-2.43,7.24,-12.9,-10.3,11.4,-1.48,13.9,18.1,1.91,0
1.07,-46.4,-18.5,-24.5,-27.9,-14.6,-2.11,-7.6,-11.9,-0.516,-8.85,0.623,-5.29,0
1.92,-35.9,-17.6,-6.83,9.67,6.55,1.2,6.31,-10.4,0.312,8.22,-0.801,-4.43,0
4.68,-31.8,-7.71,6.01,-13.8,11.3,-8.83,-0.334,-8.26,3.58,2.59,-12.2,10.7,0
2.17,-32.9,-6.32,-4.61,-8.66,-0.908,-8.41,-16.9,-7.78,-2.78,-2.06,14.0,13.5,0
2.5,-30.1,-7.03,1.37,-2.54,-1.04,-7.21,-4.68,11.9,-0.518,5.26,0.469,0.476,0
2.71,-31.0,-1.71,-0.196,-7.32,-4.42,-3.99,12.0,5.93,-5.75,-13.9,-1.48,7.61,0
0.663,-37.5,-2.23,-29.4,8.51,-5.28,-18.9,17.5,-12.3,-1.09,7.48,-7.07,-2.06,0
6.68,-33.6,-23.4,18.7,-7.93,18.5,-4.26,-8.24,-10.4,-4.89,11.3,4.26,10.1,0
1.58,-40.3,-18.2,-10.2,-11.1,-6.62,-13.4,1.64,3.09,4.95,6.3,7.08,8.62,0
1.77,-46.0,-17.6,0.964,-2.59,-3.55,6.39,-3.63,-6.97,-22.0,-12.8,-1.61,6.64,0
1.36,-34.4,-12.4,-14.2,-17.2,-17.9,15.8,0.193,-18.2,9.71,2.15,-5.52,-1.91,0
4.5,-24.8,-15.3,10.8,-3.02,3.71,-1.13,-3.4,7.99,-1.0,13.9,4.53,2.27,0
1.07,-48.3,-17.5,-6.45,-4.93,-12.3,1.54,-12.3,-1.48,-10.8,-9.43,-9.32,-10.2,0
1.36,-28.1,-5.14,-9.82,-0.907,1.18,-9.58,-23.2,9.92,7.78,0.708,-7.08,1.47,0
2.38,-21.0,-2.4,0.435,0.345,2.75,11.3,-9.62,-6.27,-1.4,-4.48,7.96,-1.69,0
3.09,-27.0,-12.8,-16.2,-9.22,18.2,16.6,-5.35,1.59,-6.12,0.0625,0.737,9.66,0
0.665,-41.0,-7.88,-1.76,-0.456,-4.13,-14.9,-10.1,3.5,10.2,-2.48,-6.62,2.37,0
4.35,-38.9,-8.38,16.3,-3.45,-2.06,-18.4,-21.2,-19.8,-6.48,3.56,-11.3,19.0,0
2.11,-26.6,-12.5,-8.33,6.4,-9.89,-8.55,10.3,6.03,9.74,0.167,-0.691,9.92,0
2.78,-29.2,-14.8,-3.45,11.4,-1.45,24.7,-6.11,-26.9,-0.11,10.5,2.54,14.2,0
0.392,-19.2,4.4,-6.05,-0.864,-1.88,2.3,1.97,0.378,-5.37,-2.75,3.55,3.96,0
1.36,-39.8,-9.38,-9.56,-4.45,6.56,-0.643,10.8,-1.4,-5.01,-9.96,-3.25,6.23,0
2.23,-25.5,-15.1,-11.9,16.5,7.41,-6.43,1.3,-5.73,-12.1,4.77,-6.02,2.13,0
2.79,-12.3,-17.1,-12.6,5.34,-11.9,0.286,-4.71,-5.28,12.5,16.0,13.6,-12.3,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
2.11,-28.8,5.64,-4.47,-6.21,8.97,-5.74,4.68,-10.6,8.52,-0.352,-4.62,-0.79,0
5.47,-35.2,-18.9,7.68,-21.5,-2.87,-12.5,-14.0,-9.87,-17.8,2.19,-13.6,3.32,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
5.48,-32.3,-21.3,-0.196,12.4,8.44,-23.3,9.26,-6.21,19.8,-7.72,1.14,3.81,0
2.86,-32.7,-13.0,3.56,14.3,8.94,26.3,2.51,-14.9,-19.7,-11.3,-5.66,2.32,0
3.95,-25.5,-12.7,2.45,-7.28,13.8,-0.659,-18.6,-14.9,-8.48,-9.77,7.17,13.8,0
1.07,-31.3,-8.79,-10.8,-29.3,-7.26,21.6,-9.93,-14.0,6.35,7.75,-8.64,-0.72,0
2.94,-34.0,1.59,19.0,10.4,7.54,1.96,-14.9,-7.68,12.8,22.4,26.9,8.88,0
6.85,-27.3,-21.8,12.8,1.32,7.52,-21.2,14.6,-0.726,5.69,-19.2,0.369,3.76,0
6.93,-31.7,-15.6,30.8,-16.8,-3.84,-10.0,18.3,9.41,-26.4,13.0,1.06,-9.58,0
3.27,-45.1,-9.47,-7.08,-13.2,-6.86,-28.7,-16.8,-33.3,-2.14,-3.28,7.69,4.58,0
2.17,-33.1,-7.48,-6.05,-16.0,-0.705,-6.78,-9.82,-3.64,-6.47,10.8,10.9,-2.9,0
4.37,-30.1,-14.6,13.3,-4.38,-0.308,3.54,-11.2,-1.32,4.49,6.82,-2.29,0.19,0
5.02,-22.3,-9.34,14.6,-0.289,19.2,-4.93,-0.105,0.289,12.6,17.6,4.62,8.92,0
1.76,-41.0,-6.47,-5.82,0.434,13.3,0.37,-13.8,-7.03,3.34,-9.86,-3.61,4.9,0
2.12,-24.2,-6.31,-12.3,-5.83,8.11,5.03,1.34,5.76,-5.8,-4.87,-11.0,-2.4,0
4.23,-38.9,-5.55,4.1,4.87,12.7,-18.2,0.551,-10.5,-13.3,-7.57,3.71,-8.39,0
0.671,-33.1,-11.7,-7.97,-15.0,-0.575,1.8,-13.9,9.67,-6.21,2.58,-2.93,0.102,0
2.81,-24.4,0.272,3.43,2.37,-5.83,-4.05,8.91,-10.3,-7.63,12.2,-2.23,-5.54,0
3.78,-23.2,-19.3,0.881,20.6,-0.278,12.8,6.72,-9.5,1.97,-4.51,-20.8,3.44,0
2.78,-27.6,-11.5,2.74,8.06,6.84,-9.47,-15.4,7.05,-5.1,-6.94,-18.3,1.82,0
4.79,-38.7,-12.8,4.91,-19.9,12.0,5.72,6.72,-12.0,-10.5,-3.95,-4.26,4.96,0
2.17,-39.7,-0.359,14.4,4.78,-9.81,-3.82,-5.98,-12.3,-7.87,13.2,15.6,-4.95,0
2.74,-26.4,-6.85,-3.92,-9.84,-7.62,1.59,0.444,-13.7,-3.24,6.81,-6.99,6.91,0
1.68,-23.4,-8.11,-1.41,11.6,10.2,4.79,-6.19,-16.0,-1.07,9.82,-5.55,-12.4,0
2.37,-24.7,2.94,-13.3,-13.9,-18.9,-8.22,-9.4,-15.5,-1.44,-3.09,7.57,-3.73,0
3.23,-35.9,-17.8,-7.42,-5.47,13.3,-3.35,-1.46,-22.1,-22.8,10.0,-4.16,-5.28,0
1.58,-32.8,-3.92,-16.4,-6.75,0.396,-2.08,1.74,3.1,-9.44,7.01,-1.83,0.47,0
3.04,-31.8,-0.412,-2.65,-4.98,20.4,11.7,17.1,21.5,-7.46,-7.87,1.68,5.54,0
0.665,-41.4,-9.2,-3.29,0.0168,1.94,-5.47,-12.0,-11.1,3.45,9.16,-0.141,-5.99,0
1.69,-26.0,-2.7,-1.25,2.39,1.11,4.99,4.3,-2.13,-6.79,9.15,-6.52,-13.9,0
2.78,-25.4,-1.16,3.27,4.9,22.6,5.88,-3.38,-16.6,-11.1,-2.46,-12.6,-8.58,0
2.54,-39.5,-15.2,-2.4,-9.31,-4.48,10.5,4.95,4.27,-0.81,-7.53,-21.3,-7.92,0
1.58,-44.7,-5.75,-13.0,-9.38,-10.8,-2.86,-3.83,-8.43,-8.94,0.775,-9.6,-10.2,0
4.43,-36.9,-2.8,-1.99,-17.4,11.4,8.9,13.7,-14.7,-2.98,3.91,10.2,-0.181,0
4.06,-34.0,-3.45,-9.83,-2.79,13.2,-11.7,1.39,-10.3,5.55,0.0481,-3.07,7.62,0
4.1,-34.4,-31.7,-23.7,2.09,30.9,14.1,2.86,-7.85,-4.51,30.3,0.436,3.11,0
1.58,-36.5,0.795,-0.737,-13.6,-2.53,0.0612,3.01,-14.8,-7.24,14.3,3.09,-11.6,0
0.671,-46.4,-5.77,-6.63,4.86,6.14,6.47,-4.68,-16.3,-18.1,-3.18,10.6,7.73,0
-0.0233,-21.4,-15.3,-20.1,-0.718,1.24,-15.3,0.783,9.94,-15.5,5.89,6.68,-16.3,0
3.39,-35.6,-5.8,5.31,6.48,30.6,6.25,-4.97,-2.12,-19.8,-3.33,8.46,-7.11,0
2.81,-31.6,5.89,17.1,9.75,10.9,-2.65,2.98,-5.3,-8.8,-0.923,12.4,16.7,0
5.02,-15.9,-20.3,6.3,-0.102,17.3,-4.06,-14.3,3.95,-10.9,-1.98,10.8,3.34,0
1.07,-46.4,-7.07,-12.6,-9.74,-12.1,-1.32,3.29,-3.13,-17.1,-16.8,0.831,14.6,0
2.97,-32.3,-5.23,5.46,-13.8,2.33,0.000566,-17.2,-7.46,0.117,-0.876,-17.7,3.28,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
3.27,-28.5,-4.09,7.63,14.4,17.6,-0.807,-14.3,-5.45,6.1,-6.77,-0.374,3.63,0
